FIPS,label,type,value,title
12067,FL,county,32.1,
12069,FL,county,43.5,
12071,FL,county,40.1,
12073,FL,county,27.2,
12075,FL,county,35,
12077,FL,county,32.1,
12079,FL,county,32.1,
12081,FL,county,35.6,
12083,FL,county,39,
12085,FL,county,38.9,
12086,FL,county,40,
12087,FL,county,42.3,
12089,FL,county,28.9,
12091,FL,county,36.5,
12093,FL,county,32.1,
12095,FL,county,38.8,
12097,FL,county,39.1,
12099,FL,county,47.1,
12101,FL,county,38.9,
12103,FL,county,34.9,
12105,FL,county,45.1,
12107,FL,county,41.8,
12109,FL,county,35.6,
12111,FL,county,35.8,
12113,FL,county,30.7,
12115,FL,county,33.8,
12117,FL,county,38.7,
12119,FL,county,46.8,
12121,FL,county,28.3,
12123,FL,county,32.1,
12125,FL,county,32.1,
12127,FL,county,42.2,
12129,FL,county,32.1,
12131,FL,county,37.5,
12133,FL,county,32.1,
12999,FL,county,32.1,
72087,FL,county,32.1,
78030,FL,county,32.1,
13001,GA,county,32.2,
13003,GA,county,32.2,
13005,GA,county,32.2,
13007,GA,county,32.2,
13009,GA,county,32.2,
13011,GA,county,32.2,
13013,GA,county,32.6,
13015,GA,county,31.3,
13017,GA,county,32.2,
13019,GA,county,32.2,
13021,GA,county,25.3,
13023,GA,county,32.2,
13025,GA,county,32.2,
13027,GA,county,32.2,
13029,GA,county,32.2,
13031,GA,county,32.2,
13033,GA,county,32.2,
13035,GA,county,32.2,
13037,GA,county,32.2,
13039,GA,county,32.2,
13043,GA,county,32.2,
13045,GA,county,37.5,
13047,GA,county,39,
13049,GA,county,32.2,
13051,GA,county,27.1,
13055,GA,county,25.7,
13057,GA,county,31.4,
13059,GA,county,33.9,
13061,GA,county,32.2,
13063,GA,county,36.7,
13065,GA,county,32.2,
13067,GA,county,27.3,
13069,GA,county,32.2,
13071,GA,county,32.2,
13073,GA,county,30.7,
13075,GA,county,32.2,
13077,GA,county,29.4,
13079,GA,county,32.2,
13081,GA,county,32.2,
13083,GA,county,32.2,
13085,GA,county,32.2,
13087,GA,county,32.2,
13089,GA,county,28.5,
13091,GA,county,32.2,
13093,GA,county,32.2,
13095,GA,county,32.2,
13097,GA,county,17,
13099,GA,county,32.2,
13101,GA,county,32.2,
13103,GA,county,32.2,
13105,GA,county,32.2,
13107,GA,county,32.2,
13109,GA,county,32.2,
13111,GA,county,32.2,
13113,GA,county,39.3,
13115,GA,county,27.3,
13117,GA,county,40.9,
13119,GA,county,32.2,
13121,GA,county,27.6,
13123,GA,county,32.2,
13125,GA,county,32.2,
13127,GA,county,42.9,
13129,GA,county,29.3,
13131,GA,county,32.2,
13133,GA,county,32.2,
13135,GA,county,35.1,
13137,GA,county,32.2,
13139,GA,county,37.6,
13141,GA,county,32.2,
13143,GA,county,32.2,
13145,GA,county,32.2,
13147,GA,county,32.2,
13149,GA,county,32.2,
13151,GA,county,35.6,
13153,GA,county,33.3,
13155,GA,county,32.2,
13157,GA,county,27.1,
13159,GA,county,32.2,
13161,GA,county,32.2,
13163,GA,county,32.2,
13165,GA,county,32.2,
13167,GA,county,32.2,
13169,GA,county,32.2,
13171,GA,county,32.2,
13173,GA,county,32.2,
13175,GA,county,38,
13177,GA,county,32.2,
13179,GA,county,32.2,
13181,GA,county,32.2,
13183,GA,county,32.2,
13185,GA,county,25.6,
13187,GA,county,32.2,
13189,GA,county,32.2,
13191,GA,county,32.2,
13193,GA,county,32.2,
13195,GA,county,32.2,
13197,GA,county,32.2,
13199,GA,county,32.2,
13201,GA,county,32.2,
13205,GA,county,32.2,
13207,GA,county,32.2,
13209,GA,county,32.2,
13211,GA,county,32.2,
13213,GA,county,40.9,
13215,GA,county,33.9,
13217,GA,county,22,
13219,GA,county,32.2,
13221,GA,county,32.2,
13223,GA,county,29.2,
13225,GA,county,32.2,
13227,GA,county,32.2,
13229,GA,county,32.2,
13231,GA,county,32.2,
13233,GA,county,24.3,
13235,GA,county,32.2,
13237,GA,county,32.2,
13239,GA,county,32.2,
13241,GA,county,32.2,
13243,GA,county,32.2,
13245,GA,county,28,
13247,GA,county,32.1,
13251,GA,county,32.2,
13253,GA,county,32.2,
13255,GA,county,27,
13257,GA,county,32.2,
13259,GA,county,32.2,
13261,GA,county,32.2,
13263,GA,county,32.2,
13265,GA,county,32.2,
13267,GA,county,32.2,
13269,GA,county,32.2,
13271,GA,county,32.2,
13273,GA,county,32.2,
13275,GA,county,32.2,
13277,GA,county,32.2,
13279,GA,county,32.2,
13281,GA,county,32.2,
13283,GA,county,32.2,
13285,GA,county,26.5,
13287,GA,county,32.2,
13289,GA,county,32.2,
13291,GA,county,32.2,
13293,GA,county,32.2,
13295,GA,county,35.5,
13297,GA,county,26.8,
13299,GA,county,32.2,
13301,GA,county,32.2,
13303,GA,county,32.2,
13305,GA,county,32.2,
13307,GA,county,32.2,
13309,GA,county,32.2,
13311,GA,county,32.2,
13313,GA,county,40.2,
13315,GA,county,32.2,
13317,GA,county,32.2,
13319,GA,county,32.2,
13321,GA,county,32.2,
13999,GA,county,32.2,
15001,HI,county,45.7,
15003,HI,county,42.1,
15007,HI,county,35.1,
15009,HI,county,43.3,
,IA,county,21.9,
19001,IA,county,21.9,
19003,IA,county,21.9,
19005,IA,county,21.9,
19007,IA,county,21.9,
19009,IA,county,21.9,
19011,IA,county,21.9,
19013,IA,county,31.8,
19015,IA,county,21.9,
19017,IA,county,21.9,
19019,IA,county,21.9,
19021,IA,county,21.9,
19023,IA,county,21.9,
19025,IA,county,21.9,
19027,IA,county,21.9,
19029,IA,county,21.9,
19031,IA,county,21.9,
19033,IA,county,20.9,
19035,IA,county,21.9,
19037,IA,county,21.9,
19039,IA,county,21.9,
19041,IA,county,21.9,
19043,IA,county,21.9,
19045,IA,county,19.6,
19047,IA,county,21.9,
19049,IA,county,21.9,
19051,IA,county,21.9,
19053,IA,county,21.9,
19055,IA,county,21.9,
19057,IA,county,21.1,
19059,IA,county,21.9,
19061,IA,county,23.9,
19063,IA,county,21.9,
19065,IA,county,21.9,
19067,IA,county,21.9,
19069,IA,county,21.9,
19071,IA,county,21.9,
19073,IA,county,21.9,
19075,IA,county,21.9,
19077,IA,county,21.9,
19079,IA,county,21.9,
19081,IA,county,21.9,
19083,IA,county,21.9,
19085,IA,county,21.9,
19087,IA,county,21.9,
19089,IA,county,21.9,
19091,IA,county,21.9,
19093,IA,county,21.9,
19095,IA,county,21.9,
19097,IA,county,21.9,
19099,IA,county,17.7,
19101,IA,county,21.9,
19103,IA,county,11.5,
19105,IA,county,21.9,
19107,IA,county,21.9,
19109,IA,county,21.9,
19111,IA,county,19.9,
19113,IA,county,18.6,
19115,IA,county,21.9,
19117,IA,county,21.9,
19119,IA,county,21.9,
19121,IA,county,21.9,
19123,IA,county,21.9,
19125,IA,county,21.9,
19127,IA,county,31.5,
19129,IA,county,21.9,
19131,IA,county,21.9,
19133,IA,county,21.9,
19135,IA,county,21.9,
19137,IA,county,21.9,
19139,IA,county,27.5,
19141,IA,county,21.9,
19143,IA,county,21.9,
19145,IA,county,21.9,
19147,IA,county,21.9,
19149,IA,county,21.9,
19151,IA,county,21.9,
19153,IA,county,18.9,
19155,IA,county,22.5,
19157,IA,county,21.9,
19159,IA,county,21.9,
19161,IA,county,21.9,
19163,IA,county,23.7,
19165,IA,county,21.9,
19167,IA,county,21.9,
19169,IA,county,21,
19171,IA,county,21.9,
19173,IA,county,21.9,
19175,IA,county,21.9,
19177,IA,county,21.9,
19179,IA,county,16.5,
19181,IA,county,21.9,
19183,IA,county,21.9,
19185,IA,county,21.9,
19187,IA,county,16.9,
19189,IA,county,21.9,
19191,IA,county,21.9,
19193,IA,county,20.5,
19195,IA,county,21.9,
19197,IA,county,21.9,
19999,IA,county,21.9,
16001,ID,county,15.7,
16003,ID,county,20.7,
16005,ID,county,20.7,
16007,ID,county,20.7,
16009,ID,county,20.7,
16011,ID,county,20.7,
16013,ID,county,20.7,
16015,ID,county,20.7,
16017,ID,county,20.7,
16019,ID,county,33.3,
16021,ID,county,20.7,
16023,ID,county,20.7,
16025,ID,county,20.7,
16027,ID,county,19.9,
16029,ID,county,20.7,
16031,ID,county,20.7,
16035,ID,county,20.7,
16037,ID,county,20.7,
16039,ID,county,20.7,
16041,ID,county,20.7,
16043,ID,county,20.7,
16045,ID,county,20.7,
16047,ID,county,20.7,
16049,ID,county,20.7,
16051,ID,county,20.7,
16053,ID,county,20.7,
16055,ID,county,25.7,
16057,ID,county,20.7,
16059,ID,county,20.7,
16061,ID,county,20.7,
16063,ID,county,20.7,
16065,ID,county,20.7,
16067,ID,county,20.7,
16069,ID,county,20.7,
16071,ID,county,20.7,
16073,ID,county,20.7,
16075,ID,county,20.7,
16077,ID,county,20.7,
16079,ID,county,20.7,
16081,ID,county,20.7,
16083,ID,county,14.4,
16085,ID,county,20.7,
16087,ID,county,20.7,
16999,ID,county,20.7,
17001,IL,county,30,
17003,IL,county,27.3,
17005,IL,county,27.3,
17007,IL,county,27.3,
17009,IL,county,27.3,
17011,IL,county,36.3,
17013,IL,county,27.3,
17015,IL,county,27.3,
17017,IL,county,27.3,
17019,IL,county,20.8,
17021,IL,county,32.4,
17023,IL,county,27.3,
17025,IL,county,27.3,
17027,IL,county,16.8,
17029,IL,county,24.8,
17031,IL,county,26.2,
17033,IL,county,27.3,
17035,IL,county,27.3,
17037,IL,county,32,
17039,IL,county,27.3,
17041,IL,county,27.3,
17043,IL,county,29.2,
17045,IL,county,27.3,
17047,IL,county,27.3,
17049,IL,county,16.7,
17051,IL,county,27.3,
17053,IL,county,27.3,
17055,IL,county,22.6,
17057,IL,county,27.3,
17059,IL,county,27.3,
17061,IL,county,27.3,
17063,IL,county,12.4,
17065,IL,county,27.3,
17067,IL,county,27.3,
17069,IL,county,27.3,
17071,IL,county,27.3,
17073,IL,county,37.5,
17075,IL,county,27.3,
17077,IL,county,22.2,
17079,IL,county,27.3,
17081,IL,county,34,
17083,IL,county,27.3,
17085,IL,county,27.3,
17087,IL,county,27.3,
17089,IL,county,30.6,
17091,IL,county,21.7,
17093,IL,county,28.3,
17095,IL,county,25.5,
17097,IL,county,26.8,
17099,IL,county,26,
17101,IL,county,27.3,
17103,IL,county,27.3,
17105,IL,county,27.3,
17107,IL,county,24.7,
17109,IL,county,27.3,
17111,IL,county,21.4,
17113,IL,county,38.5,
17115,IL,county,21.3,
17117,IL,county,25.4,
17119,IL,county,29.7,
17121,IL,county,36.3,
17123,IL,county,27.3,
17125,IL,county,27.3,
17127,IL,county,27.3,
17129,IL,county,27.3,
17131,IL,county,27.3,
17133,IL,county,27.3,
17135,IL,county,27.3,
17137,IL,county,22.8,
17139,IL,county,27.3,
17141,IL,county,32.3,
17143,IL,county,22.2,
17145,IL,county,27.3,
17147,IL,county,27.3,
17149,IL,county,27.3,
17151,IL,county,27.3,
17153,IL,county,27.3,
17155,IL,county,27.3,
17157,IL,county,27.3,
17159,IL,county,27.3,
17161,IL,county,31,
17163,IL,county,28.6,
17165,IL,county,27.3,
17167,IL,county,18.5,
17169,IL,county,27.3,
1717,IL,county,27.3,
17171,IL,county,27.3,
17173,IL,county,27.3,
17175,IL,county,27.3,
17177,IL,county,27.3,
17179,IL,county,26,
17181,IL,county,27.3,
17183,IL,county,21.9,
17185,IL,county,27.3,
17187,IL,county,27.3,
17189,IL,county,27.3,
17191,IL,county,27.3,
17193,IL,county,27.3,
17195,IL,county,28.6,
17197,IL,county,25.3,
17199,IL,county,18.3,
17201,IL,county,23.8,
17203,IL,county,27.3,
17999,IL,county,27.3,
99999,IL,county,27.3,
18001,IN,county,25.2,
18003,IN,county,23.4,
18005,IN,county,18.6,
18007,IN,county,25.2,
18009,IN,county,25.2,
18011,IN,county,26.5,
18013,IN,county,25.2,
18015,IN,county,25.2,
18017,IN,county,25.2,
18019,IN,county,30.9,
18021,IN,county,25.2,
18023,IN,county,25.2,
18025,IN,county,25.2,
18027,IN,county,25.2,
18029,IN,county,29.3,
18031,IN,county,25.2,
18033,IN,county,25.2,
18035,IN,county,24.4,
18037,IN,county,25.2,
18039,IN,county,20.4,
18041,IN,county,19,
18043,IN,county,24.9,
18045,IN,county,25.2,
18047,IN,county,25.2,
18049,IN,county,25.2,
18051,IN,county,25.2,
18053,IN,county,28.7,
18055,IN,county,25.2,
18057,IN,county,29,
18059,IN,county,25.2,
18061,IN,county,32.7,
18063,IN,county,21.3,
18065,IN,county,23.8,
18067,IN,county,22.2,
18069,IN,county,25.2,
18071,IN,county,17.4,
18073,IN,county,29.6,
18075,IN,county,25.2,
18077,IN,county,25.2,
18079,IN,county,25.2,
18081,IN,county,29.7,
18083,IN,county,25.2,
18085,IN,county,26.1,
18087,IN,county,25.2,
18089,IN,county,22.3,
18091,IN,county,20.5,
18093,IN,county,24.6,
18095,IN,county,15.5,
18097,IN,county,20.9,
18099,IN,county,25.2,
18101,IN,county,25.2,
18103,IN,county,25.2,
18105,IN,county,18.5,
18107,IN,county,19.6,
18109,IN,county,34.2,
18111,IN,county,25.2,
18113,IN,county,25.2,
18115,IN,county,25.2,
18117,IN,county,25.2,
18119,IN,county,25.2,
18121,IN,county,25.2,
18123,IN,county,25.2,
18125,IN,county,25.2,
18127,IN,county,19.1,
18129,IN,county,25.2,
18131,IN,county,25.2,
18133,IN,county,25.2,
18135,IN,county,21.1,
18137,IN,county,25.2,
18139,IN,county,25.2,
18141,IN,county,19.6,
18143,IN,county,25.2,
18145,IN,county,25.2,
18147,IN,county,25.2,
18149,IN,county,25.2,
18151,IN,county,25.2,
18153,IN,county,25.2,
18155,IN,county,25.2,
18157,IN,county,24.5,
18159,IN,county,25.2,
18161,IN,county,25.2,
18163,IN,county,24.1,
18165,IN,county,25.2,
18167,IN,county,27.6,
18169,IN,county,25.2,
18171,IN,county,25.2,
18173,IN,county,22.1,
18175,IN,county,25.2,
18177,IN,county,20.2,
18179,IN,county,25.2,
18181,IN,county,25.2,
18183,IN,county,25.2,
18999,IN,county,25.2,
20001,KS,county,22.4,
20003,KS,county,22.4,
20005,KS,county,22.4,
20007,KS,county,22.4,
20009,KS,county,19.1,
20011,KS,county,22.4,
20013,KS,county,22.4,
20015,KS,county,19.3,
20017,KS,county,22.4,
20019,KS,county,22.4,
20021,KS,county,22.4,
20023,KS,county,22.4,
20025,KS,county,22.4,
20027,KS,county,22.4,
20029,KS,county,22.4,
20031,KS,county,22.4,
20033,KS,county,22.4,
20035,KS,county,13.1,
20037,KS,county,24.9,
20039,KS,county,22.4,
